,Title,Year,Runtime,Genre,Rating
0,The Shawshank Redemption,1994,142,Drama,9.3
1,The Godfather,1972,175,"Crime,Drama",9.2
2,Pulp Fiction,1994,154,"Crime,Drama",8.9
3,The Godfather Part II,1974,202,"Crime,Drama",9
4,Inception,2010,148,"Action,Adventure,Sci-Fi",8.8
5,The Lord of the Rings: The Return of the King,2003,201,"Action,Adventure,Drama",9
6,Star Wars,1977,121,"Action,Adventure,Fantasy",8.6
7,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action,Adventure,Drama",8.9
8,The Matrix,1999,136,"Action,Sci-Fi",8.7
9,Se7en,1995,127,"Crime,Drama,Mystery",8.6
10,Le fabuleux destin d'Amélie Poulain,2001,122,"Comedy,Romance",8.3
11,Terminator 2: Judgment Day,1991,137,"Action,Sci-Fi",8.6
12,The Walking Dead,2010–2022,44,"Drama,Horror,Thriller",8.1
13,Zombieland,2009,88,"Action,Comedy,Horror",7.6
14,Shaun of the Dead,2004,99,"Comedy,Horror",7.9
15,I Am Legend,2007,101,"Action,Drama,Horror",7.2
16,The Crazies,2010,101,Horror,6.5
17,Grindhouse,2007,191,"Action,Horror,Thriller",7.5
18,28 Days Later...,2002,113,"Drama,Horror,Sci-Fi",7.5
19,28 Weeks Later,2007,100,"Horror,Sci-Fi",6.9
20,Resident Evil: Extinction,2007,94,"Action,Horror,Sci-Fi",6.2
21,Dawn of the Dead,2004,101,"Action,Horror",7.3
22,Resident Evil,2002,100,"Action,Horror,Sci-Fi",6.6
23,Planet Terror,2007,105,"Action,Comedy,Horror",7
24,Army of Darkness,1992,81,"Comedy,Horror",7.4
25,Død snø,2009,92,"Comedy,Fantasy,Horror",6.3
26,Resident Evil: Apocalypse,2004,94,"Action,Horror,Sci-Fi",6.1
27,Doom,2005,105,"Action,Horror,Sci-Fi",5.2
28,Braindead,1992,104,"Comedy,Fantasy,Horror",7.5
29,Land of the Dead,2005,93,"Horror,Sci-Fi,Thriller",6.2
30,Dawn of the Dead,1978,127,"Horror,Thriller",7.8
31,Night of the Living Dead,1968,96,"Horror,Thriller",7.8
32,Quarantine,2008,89,"Horror,Sci-Fi,Thriller",5.9
33,Survival of the Dead,2009,90,"Comedy,Drama,Horror",4.8
34,Diary of the Dead,2007,95,"Fantasy,Horror,Sci-Fi",5.5
35,Pet Sematary,1989,103,"Fantasy,Horror,Thriller",6.5
36,The Return of the Living Dead,1985,91,"Comedy,Horror,Sci-Fi",7.3
37,Day of the Dead,2008 Video,86,"Action,Horror,Sci-Fi",4.5
38,Black Swan,2010,108,"Drama,Thriller",8
39,The Green Hornet,2011,119,"Action,Comedy,Crime",5.8
40,xXx,2002,124,"Action,Adventure,Thriller",5.8
41,The Hangover,2009,100,Comedy,7.7
42,Night of the Living Dead,1990,92,Horror,6.8
43,The Fast and the Furious: Tokyo Drift,2006,104,"Action,Crime,Thriller",6
44,A Clockwork Orange,1971,136,"Crime,Sci-Fi",8.3
45,Aliens,1986,137,"Action,Adventure,Sci-Fi",8.4
46,Requiem for a Dream,2000,102,Drama,8.3
